Size_Class_Description,id,Street,Establishment_Name,Tel_No,Ward_Name,Mobile_No,ISICLev4,ISICLev4_Description,CPC_Description,CPC_Code,Year_Started,Postal_Address,District_Name,Manufacturing_Classification,Ownership_Description,Subsector,Region_Name,Zone_Name,Employment
Small,1048,RELINI,KWIZOMBE BUILDERS LTD,754613640,Kizota,262350240,2395,"Manufacture of articles of concrete, cement and plaster","Paving blocks, bricks, tiles and other articles of pressed or moulded glass, of a kind used for building or construction purposes; leaded lights and the like; multicellular or foam glass in blocks, plates or similar forms",37117,2010.0,3269,Dodoma Mjini,Building and Construction Materials,Private,Manufacturing,Dodoma,Central zone,5
Micro,1049,MNARANI SOKONI,LAILA HUSSEN,763337702,Kondoa Mjini,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2011.0,Missing,Kondoa ,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,1050,MATHIAS,LAITED P. SANGA,Missing,Miyuji,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2003.0,Missing,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1051,KARUME,LAITED P. SANGA,Missing,Mnadani,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2011.0,1320,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1052,IHUMWA,LAITED PATRIS SANGA MILLS,754295428,Mtumba,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2000.0,1320,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1053,BOMBA,LAIZA (MATAYO LAIZA),Missing,Mrijo,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2008.0,830,Chemba ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1054,TANGINI,LAMECK GEORGE MADULILWA,Missing,Pwaga,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2002.0,12,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1055,IGOVU,LARARO MWAMNYANYI,684036258,Mpwapwa Mjini,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2004.0,265,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1056,MNARANI,LATIFA ALLY,Missing,Kondoa Mjini,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,1998.0,Missing,Kondoa ,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,1057,MAKONDEKO(IWELEWELE),LAURANT MICHAEL,783156906,Mbabala,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2006.0,Missing,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1058,KIKUYU MISHENI,LAURENT GALLET,765847737,Kikuyu Kaskazini,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2013.0,24,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1059,SHULENI,LAWRANCE PARANGYO OIL PRESING MACHINE,787879412,Luhundwa,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2013.0,Missing,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1060,SERUKA,LAWRENCE PALLANGYO,787879412,Luhundwa,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2013.0,270,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1061,SABASABA,LEAH LEMENGA,756363406,Viwandani,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2013.0,Missing,Dodoma Mjini,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,1062,MIEMBENI,LEGENYA WILSON LEGENYA,Missing,Mlali,Missing,1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials","Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",31923,2009.0,Missing,Kongwa ,Wood and Woods Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,1063,IKULU,LENARD MBEDEGALO MAUMBI,766295113,Mtanana,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2010.0,122,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Small,1064,BAHI ROAD,LEON MARUNDA MALLYA,754543795,Majengo,Missing,2395,"Manufacture of articles of concrete, cement and plaster","Paving blocks, bricks, tiles and other articles of pressed or moulded glass, of a kind used for building or construction purposes; leaded lights and the like; multicellular or foam glass in blocks, plates or similar forms",37117,2007.0,4191,Dodoma Mjini,Building and Construction Materials,Private,Manufacturing,Dodoma,Central zone,5
Micro,1065,SAIGONI,LEONAD WADONGOLA,718166314,Ngomai,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2010.0,57,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1066,MADUKANI,LEONADI BARU,Missing,Kigwe,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2013.0,Missing,Bahi ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1067,SHULENI,LEONARD MASORI,Missing,Kingiti,Missing,1079,Manufacture of other food products n.e.c.,"Extracts and juices of meat, fish, crustaceans, molluscs or other aquatic invertebrates",21175,2007.0,48,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1068,MASENA,LEONARD MUHIMILI MWANDE,788280522,Kibakwe,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2008.0,7,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1069,KARUME,LEONCI MWAHESA,765063682,Kibaigwa,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2009.0,Missing,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1070,MAJENGO,LEONIA JUUINZE SONGITA,785943333,Mpwapwa Mjini,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2013.0,Missing,Mpwapwa ,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,1071,BAHI ROAD,LEONIDAS CLARENZ LOPA,715909297,Majengo,Missing,1610,Sawmilling and planing of wood,Logs of coniferous wood,3110,2004.0,1801,Dodoma Mjini,Wood and Woods Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,1072,AMANI,LESILWA MBWERI LESILWA MILLS,764394466,Ugogoni,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2013.0,Missing,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Small,1073,KITUONI,LETEMA FAMILY GROUP,714425398,Kimagai,Missing,3100,Manufacture of furniture,"Other wooden furniture, of a kind used in offices",38122,1999.0,240,Mpwapwa ,Wood and Woods Products,Private,Manufacturing,Dodoma,Central zone,5
Micro,1074,BAHI SOKONI,LEYA EMANUEL MWARABU,Missing,Bahi,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2007.0,Missing,Bahi ,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,1075,MAJENGO,LIGHINESS OMBENI SAID,783385160,Mpwapwa Mjini,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2007.0,4,Mpwapwa ,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,1076,SOKONI,LILIAN MAJIMOTO,Missing,Mpwapwa Mjini,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2004.0,12,Mpwapwa ,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,1077,AREA A,LILIAN PAUL ISAI,763820905,Chamwino,Missing,1399,Manufacture of other textiles n.e.c.,Other textile manufacturing services n.e.c.,88219,2013.0,Missing,Dodoma Mjini,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,1078,MAKOLE,LIZE GEORGE MWAKATAGE,755291904,Makole,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2013.0,Missing,Dodoma Mjini,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,1079,MORISHENI/MNYAKONGO,LUBUVA MICHAEL JUMBE,784947224,Kongwa,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,1997.0,95,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1080,MAKWIZU,LUCAS HOYA MGANGA,769427218,Mpwayungu,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2010.0,543,Chamwino ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1081,MAKURU,LUCAS MATHIAS LUCAS,712583869,Mpwayungu,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2011.0,543,Chamwino ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1082,UKAGURUNI,LUCAS WAMI MANGHUNDI,Missing,Mazae,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2007.0,Missing,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1083,CHINYOYO,LUCIA MAYUNGA (MAMA SHERIDA),752056366,Kilimani,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,1999.0,Missing,Dodoma Mjini,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,1084,SIDO,LUCIAN OJUKU KIGOSI,767223015,Viwandani,Missing,3100,Manufacture of furniture,"Other wooden furniture, of a kind used in offices",38122,1997.0,461,Dodoma Mjini,Wood and Woods Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,1085,MJINI MAGHARIBI B,LUCY DICKSON CHIKOLONGO,766848936,Kongwa,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2009.0,87,Kongwa ,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,1086,MNARANI SOKONI,LUCY MARTIN LUBAVU,Missing,Kondoa Mjini,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2012.0,Missing,Kondoa ,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,1087,CHAMBUZI,LUCY OMARY,685953316,Kolo,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2014.0,1,Kondoa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1088,SOKOINE,LUCY RICHARD SALALI,754825141,Buigiri,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2012.0,Missing,Chamwino ,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,1089,SIDO,LUDOVIC ELIAS MACHINJA,754430803,Viwandani,Missing,1622,Manufacture of buildersÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢ carpentry and joinery,"Prefabricated buildings, of wood",38701,1991.0,461,Dodoma Mjini,Wood and Woods Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,1090,OYSTERBAY,LUGATA OIL MILLS,715348884,Kiwanja cha Ndege,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2013.0,762,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1091,MWANGAZA,LUKUNDANE TAIROLING MART,714512484,Uhuru,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2008.0,Missing,Dodoma Mjini,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
